,scenario,half_hat,K,rel_oracle_time,C_bar_size,num_min_loc,mult,varsigma_deg,upsilon,n,m
185,5,1.0,13.581673306772908,0.2884670884204288,5336,476,2.0,0.0002,5.0,500.0,10000.0
186,6,1.0,10.844621513944222,0.18443053729637524,5359,476,2.0,0.0002,5.0,500.0,10000.0
187,7,1.0,15.207171314741036,0.36105898508405704,5352,476,2.0,0.0002,5.0,500.0,10000.0
188,8,1.0,14.860557768924302,0.34516029695503636,5364,476,2.0,0.0002,5.0,500.0,10000.0
189,9,1.0,12.96414342629482,0.2574235300796022,5360,476,2.0,0.0002,5.0,500.0,10000.0
190,0,1.0,3.952191235059761,0.03148141753696631,5388,294,2.0,0.002,5.0,500.0,10000.0
191,1,1.0,7.896414342629482,0.10328651892083124,5360,299,2.0,0.002,5.0,500.0,10000.0
192,2,1.0,2.9721115537848606,0.021215631985638722,5352,300,2.0,0.002,5.0,500.0,10000.0
193,3,1.0,4.904382470119522,0.04420460260113406,5363,301,2.0,0.002,5.0,500.0,10000.0
194,4,1.0,5.653386454183267,0.05479928333866619,5381,309,2.0,0.002,5.0,500.0,10000.0
195,5,1.0,4.50597609561753,0.04420298736653104,5340,302,2.0,0.002,5.0,500.0,10000.0
196,6,1.0,6.892430278884462,0.07778495264203611,5408,301,2.0,0.002,5.0,500.0,10000.0
197,7,1.0,7.916334661354582,0.1029036125649303,5321,302,2.0,0.002,5.0,500.0,10000.0
198,8,1.0,14.00796812749004,0.3176877842741397,5371,300,2.0,0.002,5.0,500.0,10000.0
199,9,1.0,9.195219123505977,0.14766990420925638,5358,306,2.0,0.002,5.0,500.0,10000.0
200,0,1.0,2.7928286852589643,0.028792145825431027,5391,19,2.0,0.02,5.0,500.0,10000.0
201,1,1.0,2.693227091633466,0.030402842977510575,5389,19,2.0,0.02,5.0,500.0,10000.0
202,2,1.0,6.964143426294821,0.10319466988493699,5361,21,2.0,0.02,5.0,500.0,10000.0
203,3,1.0,5.00398406374502,0.06007135192966432,5374,21,2.0,0.02,5.0,500.0,10000.0
204,4,1.0,6.131474103585657,0.07688895143369452,5386,25,2.0,0.02,5.0,500.0,10000.0
205,5,1.0,2.7768924302788847,0.02617601401004692,5353,21,2.0,0.02,5.0,500.0,10000.0
206,6,1.0,3.812749003984064,0.037740822775962295,5397,23,2.0,0.02,5.0,500.0,10000.0
207,7,1.0,3.1752988047808763,0.03954789694938575,5330,13,2.0,0.02,5.0,500.0,10000.0
208,8,1.0,2.2191235059760954,0.025778668576170356,5378,25,2.0,0.02,5.0,500.0,10000.0
209,9,1.0,5.5936254980079685,0.06590849136665403,5350,20,2.0,0.02,5.0,500.0,10000.0
210,0,1.0,9.079681274900398,0.10324761960452847,2316,477,2.0,0.0002,20.0,500.0,10000.0
211,1,1.0,7.266932270916334,0.07276266452210146,2296,476,2.0,0.0002,20.0,500.0,10000.0
212,2,1.0,9.936254980079681,0.1233504277200377,2292,476,2.0,0.0002,20.0,500.0,10000.0
213,3,1.0,13.788844621513944,0.22219287284167105,2301,476,2.0,0.0002,20.0,500.0,10000.0
214,4,1.0,11.653386454183266,0.1671762913740064,2291,477,2.0,0.0002,20.0,500.0,10000.0
215,5,1.0,7.031872509960159,0.06773083679186324,2286,476,2.0,0.0002,20.0,500.0,10000.0
216,6,1.0,6.0199203187251,0.0543726666577149,2289,476,2.0,0.0002,20.0,500.0,10000.0
